t,influ_perc,rhino_perc
287.0,0.019,0.285
294.0,0.02,0.22399999999999998
301.0,0.015,0.23399999999999999
308.0,0.013000000000000001,0.187
315.0,0.015,0.16899999999999998
322.0,0.021,0.149
329.0,0.04,0.17800000000000002
336.0,0.034,0.11699999999999999
343.0,0.085,0.113
350.0,0.11100000000000002,0.111
357.0,0.19,0.081
364.0,0.271,0.051
371.0,0.28600000000000003,0.055999999999999994
378.0,0.27299999999999996,0.052000000000000005
385.0,0.281,0.051
392.0,0.28400000000000003,0.08
399.0,0.262,0.078
406.0,0.24799999999999997,0.085
413.0,0.306,0.08
420.0,0.284,0.076
427.0,0.293,0.078
434.0,0.259,0.083
441.0,0.22200000002,0.083
448.0,0.17300000002000002,0.067
455.0,0.18899999997000003,0.09300000000000001
462.0,0.16299999999,0.10300000000000001
469.0,0.10400000000000001,0.113
476.0,0.056999999999999995,0.128
483.0,0.03,0.155
490.0,0.025,0.17600000000000002
497.0,0.017,0.188
504.0,0.012,0.166
518.0,0.005,0.159
532.0,0.003,0.145
546.0,0.006999999999999999,0.18
560.0,0.004,0.16699999999999998
574.0,0.004,0.128
588.0,0.006999999999999999,0.14300000000000002
602.0,0.0030000000000000005,0.126
616.0,0.028999999999999998,0.16899999999999998
630.0,0.006,0.24600000000000002
644.0,0.006,0.17800000000000002
651.0,0.00842857143,0.159
658.0,0.00586,0.174
665.0,0.009247058820000001,0.18100000000000002
672.0,0.01701666667,0.163
679.0,0.025177586210000002,0.12300000000000001
686.0,0.024789830510000003,0.107
693.0,0.03300963855,0.133
700.0,0.03687878788,0.126
707.0,0.05483098591999999,0.11900000000000001
714.0,0.06662117647,0.128
721.0,0.12438823530000001,0.14400000000000002
728.0,0.1743610619,0.11
735.0,0.1632814558,0.11599999999999999
742.0,0.21348815170000002,0.091
749.0,0.2127272727,0.084
756.0,0.2372202591,0.07400000000000001
763.0,0.2567644363,0.09
770.0,0.2853990196,0.111
777.0,0.2775040143,0.078
784.0,0.221715749,0.105
791.0,0.1604189723,0.095
798.0,0.1169133127,0.08900000000000001
805.0,0.122933526,0.11699999999999999
812.0,0.10739930560000001,0.135
819.0,0.09374666666999999,0.152
826.0,0.07260962567,0.165
833.0,0.07158857143,0.15
840.0,0.06358709677,0.11800000000000001
847.0,0.05476470588,0.131
854.0,0.038000000000000006,0.11800000000000001
861.0,0.033453125,0.12300000000000001
868.0,0.02339473684,0.163
882.0,0.012,0.149
896.0,0.016,0.161
910.0,0.01,0.209
924.0,0.011000000000000001,0.17
938.0,0.006999999999999999,0.17600000000000002
952.0,0.008,0.096
966.0,0.025,0.111
980.0,0.011000000000000001,0.12
994.0,0.01,0.254
1008.0,0.013499999999999998,0.249
1015.0,0.026330508470000003,0.21
1022.0,0.028415384619999998,0.22899999999999998
1029.0,0.029129333330000003,0.21
1036.0,0.03886,0.182
1043.0,0.03670645161,0.14300000000000002
1050.0,0.07407286432,0.15
1057.0,0.1509977376,0.136
